run,VVin,time,Clk,FFCLR,sampling_rate
run_00,0.0,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_01,0.1,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_02,0.2,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_03,0.30000000000000004,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_04,0.4,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_05,0.5,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_06,0.6,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_07,0.7,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_08,0.7999999999999999,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_09,0.8999999999999999,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
run_10,0.9,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.782, 1.781, 1.780, …]","[0.562, 0.558, 0.555, …]",1.173e+05
